HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
2406,,,,,,6,35,17.6,N,9,59,18,5.88,1.51,1.85,  K4III,-0.001,-0.01,,39
2407,,,,,,6,33,10.3,S,38,37,31,6.44,1,,  G8III,0.006,-0.022,,29
2408,,,,,,6,30,3,S,65,34,6,6.29,0.33,0.06,  F0III,0.002,0.058,,6
2409,,,,,,6,35,15.8,N,0,53,24,5.8,0,-0.45,  B8Ib,-0.001,-0.006,,10
2410,,,,,,6,31,10.6,S,61,52,47,6.15,-0.15,,  B3V,-0.013,0.008,,34
2411,,,,,,6,33,49.5,S,36,13,56,5.42,1.44,1.72,  K3III,-0.014,0.094,0.03,32
2412,,Mu,Pic,,,6,31,58.4,S,58,45,15,5.7,-0.06,-0.18,  B9Ve,0.004,-0.011,,2
2413,,,,,,6,36,0,N,4,29,51,6.55,-0.06,-0.28,  B9III,-0.021,-0.005,,13
2414,5,Xi 2,CMa,,,6,35,3.4,S,22,57,53,4.54,-0.05,-0.03,  A0V,0.011,0.016,0.025,26
2415,,,,,,6,34,35.3,S,32,42,59,5.62,-0.08,-0.23,  B8V,0.005,-0.001,,28
2416,,,,,,6,33,26.1,S,52,19,44,6.19,1.09,,  G8III,-0.044,0.04,,6
2417,,,,,,6,37,27.2,N,24,35,27,6.44,0.1,0.05,  A3V,-0.016,0.008,,-2
2418,,,,,,6,36,35.3,S,5,12,40,5.52,-0.08,-0.39,  B8V,0,-0.017,,27
2419,51,,Aur,,,6,38,39.5,N,39,23,27,5.69,1.35,1.56,  K5III,-0.023,-0.109,,33
2420,52,Psi3,Aur,,,6,38,49.2,N,39,54,9,5.2,-0.07,-0.4,  B8III,-0.009,-0.012,,9
2421,24,Gam,Gem,,,6,37,42.7,N,16,23,57,1.93,0,0.04,  A0IV,0.042,-0.042,0.033,-13
2422,,,,,,6,37,24.1,N,6,8,7,6.06,0.05,-0.88,  O8p,0.006,-0.001,,25
2423,6,Nu 1,CMa,5253,A,6,36,22.8,S,18,39,36,5.7,0.85,0.49,  G8III+F3IV-V,-0.011,0.017,,25
2424,,,,,,6,35,24.1,S,36,46,48,5.59,-0.14,-0.48,  A0V,-0.011,0.018,0.011,23
2425,53,,Aur,,,6,38,23,N,28,59,3,5.79,0,-0.07,  B9npEu,-0.021,-0.021,,18
2426,,,,,,6,37,36.9,N,10,51,11,6.38,,,  K0,-0.039,-0.039,,2
2427,50,Psi2,Aur,,,6,39,19.9,N,42,29,20,4.79,1.23,1.29,  K3III,0.006,-0.058,0.004,17
2428,,,,,,6,36,46.7,S,13,19,15,5.97,1.56,,  K5,0.011,-0.023,,-12
2429,7,Nu 2,CMa,,,6,36,41,S,19,15,21,3.95,1.06,1.01,  K1III,0.059,-0.062,0.058,3
2430,,,,,,6,37,40.3,N,2,42,15,6.17,1.08,0.96,  K1III,-0.038,-0.049,,-8
2431,,,,,,6,35,54,S,36,5,20,6.35,0.48,,  G0V,-0.058,-0.095,0.028,28
2432,,,,,,6,37,52.7,N,4,57,26,6.15,0.14,-0.74,  B1Ib,-0.004,0.02,,33
2433,,,,5260,,6,36,40.9,S,22,36,54,6.35,-0.11,-0.54,  B5V,-0.031,-0.006,0.012,34
2434,,,,,,6,39,58,N,44,0,50,6.41,,,  K1III,0.033,-0.003,,-30
2435,,,,,,6,34,58.6,S,52,58,32,4.39,-0.02,-0.15,  A0II,-0.003,0.007,,23
2436,,,,,,6,39,5.3,N,22,1,51,6.04,1.03,,  G9III,0.011,-0.025,,-9
2437,,,,,,6,37,40.9,S,12,59,6,6.12,1,,  K0,0.03,-0.124,,9
2438,54,,Aur,5289,,6,39,33.1,N,28,15,47,6.03,-0.08,-0.48,  B7III,-0.006,-0.014,0.002,19
2439,,,,,,6,39,31.4,N,24,36,0,6.38,0.53,,  F8IV,0.006,0.084,,18
2440,,,,,,6,38,20.5,S,2,32,37,6.14,1.48,1.77,  K2,-0.018,0.015,,27
2441,,,,,,6,38,49.5,N,4,42,2,6.57,-0.07,-0.33,  B8IIIn,0.012,-0.008,,33
2442,,,,,,6,38,38.1,N,1,36,49,6.21,0.15,-0.82,  O9.5II,-0.007,-0.005,,58
2443,8,Nu 3,CMa,,,6,37,53.4,S,18,14,15,4.43,1.15,1.04,  K1-II-III,-0.01,-0.007,0.013,-2
2444,,,,,,6,37,1.9,S,38,8,48,6.04,1.03,0.84,  K0III,0.006,0.04,,29
2445,,,,,,6,36,51.3,S,41,33,25,6.34,1.15,,  K0II,0.008,0.008,,14
2446,,,,,,6,37,13.8,S,36,59,26,5.71,-0.12,-0.51,  B7IV,-0.014,0.017,,21
2447,,,,,,6,37,47.6,S,32,20,23,5.27,1.18,1.12,  K2III,0.105,0.068,0.017,79
2448,,,,,,6,38,35.4,S,16,52,25,6.03,0.03,0.1,  A1V s,-0.008,-0.023,,10
2449,,,,5302,,6,39,47.6,N,12,58,59,5.97,0.06,0.11,  A2V,-0.034,-0.001,,-20
2450,,,,,,6,39,16.7,S,14,8,45,4.82,1.5,1.68,  K2II,0.004,-0.004,-0.003,29
2451,,Nu,Pup,,,6,37,45.7,S,43,11,46,3.17,-0.11,-0.41,  B8III,0.002,-0.006,,28
2452,,,,,,6,41,37.7,N,35,55,55,6.46,0.49,,  F8III,-0.017,-0.022,,86
2453,25,,Gem,,,6,41,21,N,28,11,47,6.42,1.09,0.85,  G5Ib,0.008,-0.009,,-6
2454,,,,,,6,40,31.8,N,6,22,18,6.51,-0.14,-0.47,  B8IIISi,-0.029,0.012,,35
2455,,,,,,6,39,36.3,S,23,41,44,6.05,-0.03,-0.06,  A0,0.013,-0.002,,26
2456,15,,Mon,5322,,6,40,58.7,N,9,53,44,4.66,-0.25,-1.07,  O7V,0.003,-0.006,-0.004,33
2457,,,,,,6,41,21.8,N,16,23,51,6.28,-0.01,-0.07,  A1V,-0.022,-0.008,,22
2458,,,,,,6,41,17.2,N,11,0,12,6.11,1.68,,  M1III,-0.002,0.009,,16
2459,55,Psi4,Aur,,,6,43,5,N,44,31,28,5.02,1.48,1.83,  K5III,-0.042,-0.028,0.019,-73
2460,,,,,,6,39,42.7,S,30,28,13,5.71,1.14,1.1,  K0III,-0.006,-0.182,0.019,-24
2461,,,,,,6,41,5.4,N,0,29,43,5.79,-0.1,-0.37,  B8III,-0.016,-0.003,,23
2462,,,,,,6,38,37.6,S,48,13,13,4.93,0.87,0.6,  G8III,0.008,0.012,0.012,28
2463,,,,,,6,44,11.6,N,53,17,47,6.27,1.08,,  K0,0.05,-0.177,,19
2464,,,,,,6,43,13.8,N,37,8,49,6.19,1.03,,  K0,0.036,-0.041,,-41
2465,,,,,,6,39,56.9,S,38,9,32,6.58,1.18,,  K1IIICNIb,0.056,-0.027,,18
2466,26,,Gem,,,6,42,24.3,N,17,38,43,5.21,0.06,0.01,  A2V,0.005,-0.087,,15
2467,,,,,,6,41,59.3,N,6,20,42,6.37,-0.05,-0.94,  O6.5V,0.01,-0.006,,31
2468,,,,,,6,38,0.6,S,61,31,59,6.18,0.62,0.12,  G1-2V,-0.011,0.084,,32
2469,,,,,,6,41,56.4,S,9,10,2,5.19,1.53,1.89,  M0III,0.043,-0.04,0.031,1
2470,12,,Lyn,5400,AB,6,46,14.1,N,59,26,30,4.87,0.08,0.08,  A3V,-0.023,-0.002,0.011,-3
2471,,,,,,6,44,12.6,N,36,6,35,6.31,0.06,0.11,  A2V,0.014,0.014,,-15
2472, NO,VA 1,903,,,,,,,,,,,,,,,,,
2473,27,Eps,Gem,5381,,6,43,55.9,N,25,7,52,2.98,1.4,1.46,  G8Ib,-0.006,-0.013,0.017,10
2474,,,,,,6,43,6.5,N,3,2,0,6.19,1.37,1.6,  K0,-0.001,-0.021,,31
2475,,,,,,6,41,14.1,S,40,20,59,6.12,-0.14,-0.59,  B4V,-0.014,0.015,,17
2476,,,,,,6,40,49.3,S,47,40,29,6.65,1.58,1.92,  M2III,-0.008,-0.009,,21
2477,13,,Lyn,,,6,46,49.5,N,57,10,9,5.35,0.96,0.73,  K0III,0.012,-0.038,,19
2478,30,,Gem,5387,,6,43,59.3,N,13,13,40,4.49,1.16,1.16,  K0III,-0.003,-0.058,0.007,14
2479,,,,,,6,43,38.7,N,3,55,56,5.9,-0.02,-0.89,  B0III,0.006,-0.006,,35
2480,28,,Gem,,,6,44,45.5,N,28,58,15,5.44,1.45,1.64,  K4III,-0.004,-0.026,,16
2481,,,,5377,A,6,42,45.8,S,22,26,57,6.13,0.34,-0.02,  F0,-0.085,0.078,,44
2482,,,,,,6,42,16.4,S,38,23,55,6.29,0.34,0.13,  A3V+F/G,-0.015,0.005,0.003,63
2483,56,Psi5,Aur,5425,,6,46,44.3,N,43,34,39,5.25,0.56,0.05,  G0V,-0.002,0.165,0.068,-24
2484,31,Xi,Gem,,,6,45,17.4,N,12,53,44,3.36,0.43,0.06,  F5III,-0.116,-0.191,0.055,25
2485,,,,5436,B,6,48,12.9,N,55,42,16,6.33,,, dF6,0.057,-0.101,0.032,12
2486,,,,5436,A,6,48,12.3,N,55,42,16,6.28,0.47,, dF5,0.058,-0.101,0.032,9
2487,57,Psi6,Aur,,,6,47,39.6,N,48,47,22,5.22,1.12,1.04,  K0III,-0.001,0.006,,-8
2488,,,,,,6,43,23.3,S,39,11,36,6.3,0.26,,  A8:m,-0.001,-0.019,,10
2489,32,,Gem,,,6,45,54.2,N,12,41,37,6.46,,,  A9III,0.001,0.002,,9
2490,42,,Cam,,,6,50,57.1,N,67,34,19,5.14,-0.17,-0.63,  B4IV,0.002,0.002,0.01,5
2491,9,Alp,CMa,5423,,6,45,8.9,S,16,42,58,-1.46,0,-0.05,  A1Vm,-0.553,-1.205,0.375,-8
2492,10,,CMa,,,6,44,28.4,S,31,4,14,5.2,-0.12,-0.93,  B2IIIe,-0.015,0.008,,34
2493,,,,,,6,44,51.9,S,27,20,29,6.45,0.54,-0.02,  G2V,-0.011,0.308,0.062,-12
2494,16,,Mon,,,6,46,32.4,N,8,35,14,5.93,-0.17,-0.69,  B2.5V,-0.006,-0.007,,10
2495,,,,,,6,45,23.3,S,23,27,43,6.05,1.2,1.29,  K0,-0.038,0.042,,34
2496,  N,GC 2,281,,,,,,,,,,,,,,,,,
2497,,,,,,6,45,2.4,S,30,35,10,6.54,-0.11,-0.49,  B8IV,-0.026,0.017,,18
2498,,,,,,6,45,59.3,S,14,47,46,5.32,0.07,0.12,  A2V,-0.025,-0.017,0.024,-19
2499,,,,5447,,6,47,23.5,N,18,11,36,6.2,0.07,0.01,  A2V,0.003,-0.043,0.016,21
2500,,,,,,6,45,22.8,S,31,47,37,5.92,0.48,-0.03,  F6V,-0.22,-0.32,0.051,32
2501,,,,,,6,45,31.3,S,30,56,56,5.8,-0.19,-0.88,  B2III,0.01,0.002,0.005,7
2502,,,,,,6,46,39,S,10,6,26,5.66,-0.05,-0.11,  B9.5V,-0.017,0.003,,17
2503,17,,Mon,,,6,47,19.8,N,8,2,14,4.77,1.4,1.65,  K4III,-0.026,-0.013,0.013,47
2504,11,,CMa,,,6,46,51.1,S,14,25,33,5.29,-0.04,-0.25,  B9III,-0.002,0.012,,15
2505,,,,,,6,40,57.8,S,71,46,32,6.51,1.11,1.07,  K1IIICNII,0.031,-0.051,,21
2506,18,,Mon,,,6,47,51.6,N,2,24,44,4.47,1.11,1.04,  K0+IIIa,-0.018,-0.012,0.017,11
2507,,,,,,6,46,3.3,S,39,32,24,6.62,-0.13,-0.5,  B6Vnne,0.003,0.014,,16
2508,,,,,,6,47,37.1,S,8,59,54,5.07,1.8,1.88,  M1+Ib-IIa,-0.016,0.005,0.002,24
2509,12,,CMa,,,6,47,1.5,S,21,0,56,6.08,-0.19,-0.62,  B7IIIn,-0.014,0.005,,15
2510,,,,,,6,46,12.1,S,37,46,32,6.21,-0.13,-0.64,  B4Vne,-0.008,0.002,,15
2511,43,,Cam,,,6,53,42.2,N,68,53,18,5.12,-0.13,-0.43,  B7III,0.003,0.008,0.002,-21
2512,,,,,,6,49,41.3,N,32,36,24,5.71,1.29,,  K3II,-0.036,-0.047,,-16
2513,,,,,,6,45,26.1,S,52,12,4,6.57,1.08,,  G6Iab,0.007,-0.007,,17
2514,,,,,,6,48,19,S,1,19,9,5.75,0.28,0.05,  F1V,-0.041,-0.042,,-14
2515,,,,,,6,45,53.7,S,52,24,36,5.8,1.53,1.82,  K3III,-0.004,-0.003,,23
2516,58,Psi7,Aur,,,6,50,45.9,N,41,46,53,5.02,1.27,1.35,  K3III,-0.024,-0.136,-0.003,61
2517,,,,,,6,49,3.7,N,1,0,7,6.15,-0.13,-0.68,  B3II-III,0.007,-0.004,,23
2518,,,,,,6,47,21.4,S,37,55,47,5.26,-0.08,-0.25,  B9IV,-0.007,-0.015,,47
2519,33,,Gem,,,6,49,49.8,N,16,12,10,5.85,-0.13,-0.52,  B7III,-0.017,-0.012,,13
2520,14,,Lyn,5514,,6,53,5.1,N,59,26,55,5.33,0.65,,  G4III+A2V,-0.006,-0.039,0.005,13
2521,,,,,,6,49,16.4,S,2,16,19,5.74,-0.1,0.46,  B8IIIn,-0.009,-0.004,,10
2522,,,,5487,,6,48,57.8,S,15,8,41,5.39,-0.1,-0.51,  B6V,0.002,-0.004,0.004,23
2523,,,,,,6,46,52.8,S,51,15,57,5.4,1.34,1.24,  K1II-III,-0.003,-0.097,0.018,-5
2524,,,,,,6,46,41.5,S,54,41,41,6.46,0.86,,  G6III,-0.05,0.024,0.004,3
2525,35,,Gem,,,6,50,25.5,N,13,24,48,5.65,1.34,, gK3,-0.002,-0.002,,26
2526,,,,,,6,47,18.7,S,55,32,24,5.61,1.52,,  K5III,0.003,0.023,,35
2527,,,,,,7,0,4,N,76,58,39,4.55,1.36,1.66,  K4III,0.071,-0.013,0.023,-26
2528,,,,5498,,6,49,44,S,24,4,33,6.33,0.04,0.08,  A1,0.002,-0.003,0.002,-2
2529,36,,Gem,5511,,6,51,33,N,21,45,40,5.27,-0.02,0.01,  A2V,-0.008,-0.038,0.01,34
2530,,,,5505,,6,50,49.9,S,0,32,27,5.77,0.39,-0.07,  F2V,0.03,-0.185,0.036,-15
2531,,,,,,6,43,36.8,S,73,7,5,6.37,0.96,0.66,  G8III,0.012,-0.093,,16
2532,,,,,,6,53,7.6,N,44,50,22,6.26,0.21,0.12,  A8Vn,0.008,-0.081,,6
2533,,,,,,6,52,0,N,23,36,6,5.65,1.45,1.96,  K5III,-0.04,-0.009,,40
2534,,,,,,6,50,42.3,S,8,2,28,6.29,0,0.02,  A2p,-0.006,0,,22
2535,,,,,,6,50,21.9,S,17,5,2,5.79,1.44,,  K0,0.013,0.015,,23
2536,,,,,,6,44,56.1,S,70,26,2,6.11,1.33,1.5,  K3III,0.007,0.007,,5
2537,,,,,,6,50,6,S,27,20,2,7.04,-0.18,-0.82,  B2IV,-0.004,0.002,,33
2538,13,Kap,CMa,,,6,49,50.5,S,32,30,31,3.96,-0.23,-0.92,  B1.5IVne,-0.007,0.004,,14
2539,59,,Aur,5534,,6,53,1.5,N,38,52,9,6.12,0.37,0.12,  F2V,0.005,0.008,,1
2540,34,The,Gem,5532,,6,52,47.3,N,33,57,40,3.6,0.1,0.14,  A3III,-0.002,-0.048,0.021,21
2541,60,,Aur,,,6,53,13.4,N,38,26,17,6.3,0.49,, dF5,0.034,-0.176,0.005,32
2542,,,,,,6,53,3.4,N,35,47,19,6.01,1.45,,  K3III:,-0.02,0.015,,6
2543,,,,,,6,51,39.3,N,3,2,30,6.38,0.04,0.09,  A2V s,-0.01,-0.042,,24
2544,,,,,,6,50,36.9,S,25,46,41,6.33,-0.18,-0.77,  B2V,-0.006,0.014,,21
2545,,,,,,6,50,23.3,S,31,42,22,5.7,0.14,-0.52,  B6Vnpe,-0.002,0.012,,20
2546,,,,,,6,49,57.8,S,45,27,0,6.55,1.51,1.83,  K5-M0III,0.019,-0.044,,15
2547,61,Psi8,Aur,,,6,53,57,N,38,30,18,6.48,-0.05,-0.19,  B9.5p,-0.01,-0.026,,27
2548,,,,,,6,49,54.6,S,46,36,53,5.14,0.45,-0.02,  F5V,0.004,0.37,0.049,20
2549,,,,,,6,50,52.4,S,34,22,2,4.99,1.38,1.56,  K5III,0.007,0.006,-0.013,30
2550,,Alp,Pic,,,6,48,11.4,S,61,56,29,3.27,0.21,0.13,  A7IV,-0.069,0.269,0.052,21
2551,,,,,,6,52,49.4,N,8,22,49,5.77,0.26,0.1,  F0Vn,-0.05,-0.032,,27
2552,,,,,,6,52,22.9,S,5,18,58,6.3,0.99,0.76,  K0,-0.02,-0.008,,31
2553,,Tau,Pup,,,6,49,56.2,S,50,36,53,2.93,1.2,1.21,  K1III,0.036,-0.07,,36
2554,,,,,,6,49,51.3,S,53,37,20,4.4,0.92,0.61,  G6II,0,0.03,0.025,26
2555,,,,,,6,53,22.5,N,10,59,47,6.24,0.97,,  K0III,0.011,-0.136,,-34
2556,,,,,,6,55,15.2,N,45,49,35,6.34,0.94,0.65,  K0III-IV,-0.037,-0.067,,31
2557,,,,,,6,55,14.7,N,43,54,36,6.13,0.32,0.19,  A9III,0.01,-0.009,,-7
2558,,,,,,6,51,42.3,S,36,13,49,5.96,0.18,,  A3V,-0.048,-0.064,,4
2559,,Zet,Men,,,6,40,2.7,S,80,48,49,5.64,0.2,0.15,  A5III,-0.016,0.055,,7
2560,15,,Lyn,5586,,6,57,16.5,N,58,25,21,4.35,0.85,0.52,  G5III-IV,-0.005,-0.135,0.014,9
2561,,,,,,6,57,13.2,N,57,33,48,6.05,1.49,1.75,  K3III,0.018,0.022,,-54
2562,,,,,,6,50,1.1,S,60,14,57,6.11,0.46,,  F7III-IV,0.009,0.109,,23
2563,,,,,,6,51,32.8,S,48,17,33,6.42,1.21,1.23,  K2-3III,0.039,-0.009,,-9
2564,38,,Gem,5559,,6,54,38.7,N,13,10,40,4.65,0.3,0.07,  F0Vp,0.078,-0.083,0.043,24
2565,,,,,,6,53,18.8,S,19,1,58,5.64,0.28,0.14,  F1V,-0.049,0.003,,30
2566,,,,,,6,53,21.7,S,18,56,0,6.14,0.15,0.13,  A5m,-0.028,0.023,,41
2567,,,,5548,,6,53,0.1,S,26,57,27,6.4,1.53,2.29,  M4III,-0.031,-0.061,,-13
2568,,Psi9,Aur,,,6,56,32.3,N,46,16,27,5.87,-0.06,-0.45,  B8IIIe,0.018,0.013,,-41
2569,37,,Gem,,,6,55,18.6,N,25,22,32,5.73,0.57,0,  G0V,-0.042,0.022,0.055,-11
2570,,,,5557,,6,54,8.5,S,5,51,9,6.41,0.17,0.16,  A6Vn,-0.02,-0.001,0.003,17
2571,15,,CMa,,,6,53,32.9,S,20,13,27,4.83,-0.21,-0.96,  B1IV,-0.009,0.004,,28
2572,,,,,,6,54,24.6,S,1,7,37,5.45,0.18,0.16,  A4IV,0.003,-0.012,0.009,-9
2573,,,,,,6,56,56,N,46,42,18,5.86,1.08,, gK0,-0.102,-0.09,,39
2574,14,The,CMa,,,6,54,11.4,S,12,2,19,4.07,1.43,1.7,  K4III,-0.137,-0.013,0.022,97
2575,,,,,,6,52,39.7,S,42,30,16,6.52,0.42,0.12,  F5II-III,-0.002,-0.008,,41
2576,,,,,,6,53,33.9,S,28,32,23,6.04,0.71,0.27,  G5IV,0.274,-0.438,0.042,72
2577,,,,,,6,54,42.1,S,1,45,23,6.21,0.56,-0.35,  B3IVe+K2II,0.006,0.006,,9
2578,,,,,,6,53,55.3,S,24,32,21,6.21,0.01,0.1,  A1,-0.027,-0.012,,27
2579,,,,,,6,52,47.1,S,43,58,33,6.46,-0.1,-0.38,  B8V,-0.005,0.001,,26
2580,16,Omi1,CMa,,,6,54,7.9,S,24,11,2,3.87,1.73,1.99,  K2+Iab,-0.008,0.013,0.002,36
2581,,,,,,7,1,21.5,N,70,48,29,5.68,1.33,, gK4,0.017,-0.019,,-17
2582,,,,,,6,54,58.8,S,2,48,13,6.04,1.1,0.85, gG6,-0.016,0.002,,20
2583,,,,,,6,54,13,S,23,55,42,6.91,-0.28,-0.89,  WN5-B,-0.009,0.003,,130
2584,,,,,,6,55,34.6,N,8,19,29,6.29,0.04,0.06,  A0V,-0.019,0.017,,20
2585,16,,Lyn,,,6,57,37.1,N,45,5,39,4.9,0.03,0.05,  A2Vn,-0.021,-0.004,0.006,-8
2586,,,,,,6,57,0.5,N,33,40,52,5.89,0.88,,  G5III,-0.019,0,,-10
2587,,,,,,6,52,46.9,S,54,5,24,6.57,1.08,,  G5Ib-II,-0.019,0.016,,14
2588,17,,CMa,5585,,6,55,2.7,S,20,24,17,5.74,0.08,,  A3IV,-0.003,-0.004,,-15
2589,,,,,,6,56,25.8,N,9,57,23,5.92,-0.08,-0.35,  B8Vn,-0.015,-0.014,,33
2590,19,Pi,CMa,5602,,6,55,37.4,S,20,8,11,4.68,0.37,0.05, gF2,0.047,0.043,0.034,8
2591,,,,,,6,54,26.7,S,42,21,56,6.32,2.24,2.79,  C3II,0.002,0.014,,32
2592,,,,,,6,52,45.4,S,59,20,28,6.41,0.18,,  A3m,-0.012,0.039,,-2
2593,18,Mu,CMa,5605,,6,56,6.6,S,14,2,37,5,1.18,,  G5III+A2,-0.001,0.005,-0.002,19
2594,,,,,,6,54,2.3,S,50,36,42,6.26,0.99,,  K0-1III,-0.049,0.218,-0.003,44
2595,,,,,,6,55,46.8,S,22,56,29,5.3,-0.18,-0.8,  B3II-III,-0.017,0.003,,38
2596,20,Iot,CMa,,,6,56,8.2,S,17,3,15,4.37,-0.07,-0.7,  B3II,-0.003,0.002,0.005,41
2597,,,,,,6,57,25.7,N,11,54,27,6.27,0.34,?+0.27,  F2Ib-II,0.019,0,,9
2598,,,,,,6,55,54.8,S,31,47,24,6.36,,,  B3V,-0.006,0.013,,21
2599,,,,,,6,57,0.1,S,8,10,44,6.34,0.64,0.26,  K0II-III+A2V,-0.007,0.002,,-5
2600,62,,Aur,,,6,59,2.8,N,38,3,8,6,1.23,1.17,  K2III,-0.043,-0.122,,25
2601,39,,Gem,,,6,58,47.4,N,26,4,52,6.1,0.46,0.02,  F7V,-0.168,0.093,0.025,6
2602,,Iot,Vol,,,6,51,27,S,70,57,48,5.4,-0.11,-0.38,  B7IV,0.001,0.023,,19
2603,,,,,,6,57,14.8,S,22,12,12,6.61,-0.19,-0.8,  B1-2III,-0.006,-0.015,,32
2604,,,,,,6,56,45.7,S,35,20,30,6.29,1.29,,  K2III,-0.001,-0.003,,18
2605,40,,Gem,,,6,59,27.9,N,25,54,51,6.4,-0.11,-0.47,  B8III,-0.011,-0.008,,12
2606,,,,,,6,58,39,N,7,37,19,6.27,0.11,0.1,  A3V,-0.016,-0.03,,-12
2607,,,,5629,,6,57,33.9,S,24,37,50,5.46,0.36,0.03, dF0,-0.058,0.106,0.016,20
2608,,,,,,6,56,16,S,48,43,16,4.95,1.69,1.92,  M1III,0.006,0.01,-0.003,22
2609,,,,,,7,40,30.5,N,87,1,12,5.07,1.63,1.97,  M2IIIab,-0.045,-0.028,0.003,-25
2610,,,,5648,,6,58,57,N,3,36,8,5.97,1.06,0.88,  G8III,-0.002,-0.004,,17
2611,,,,,,6,57,42.4,S,27,32,15,6.23,-0.14,-0.66,  B2.5V,-0.034,0.005,,24
2612,,,,,,6,57,17.6,S,35,30,27,6.23,0.46,-0.04,  F8IV-V,-0.037,0.008,0.069,10
2613,,,,,,6,59,20.1,N,7,19,1,6.35,-0.11,-0.47,  B7III,-0.019,-0.011,,5
2614,,,,,,6,58,7.6,S,27,9,53,6.37,-0.19,-0.82,  B2.5III,0.006,-0.008,,18
2615,41,,Gem,,,7,0,15.8,N,16,4,44,5.68,1.66,1.82,  K3Ib,-0.007,-0.005,,22
2616,,,,5651,,6,58,35.9,S,25,24,50,5.59,-0.16,-0.7,  B3V,-0.01,0.015,,28
2617,,,,,,7,5,51.8,N,70,43,55,6.5,,,  K0III,0.037,-0.008,,20
2618,21,Eps,CMa,5654,,6,58,37.5,S,28,58,20,1.5,-0.21,-0.93,  B2II,0.004,0.003,0.001,27
2619,,,,,,6,58,25.1,S,34,6,42,5.06,-0.16,-0.65,  B3V,-0.006,0.005,,19
2620,,,,5680,,7,1,17.2,N,32,24,52,6.59,0.27,0.14,  A9IV,0.011,-0.02,,-28
2621,,,,,,6,58,43.8,S,30,59,52,6.42,-0.14,-0.61,  B3V,0.004,0.021,,14
2622,,,,,,7,0,18,S,5,22,1,6.3,0.57,0.09,  G0III-IV,-0.118,0.088,,54
2623,,,,,,6,59,39.3,S,21,36,12,6.26,-0.15,-0.78,  B2-3IV-V,-0.002,-0.01,,33
2624,,,,,,7,0,23.7,S,8,24,25,5.96,-0.08,-0.34,  B9III,-0.009,0.001,,10
2625,,,,,,7,0,8.1,S,20,9,32,6.31,-0.15,-0.62,  B4III,-0.028,-0.008,,32
2626,,,,,,6,58,41.8,S,45,46,5,6.22,0,-0.06,  A0V,-0.005,-0.021,,34
2627,,,,,,7,0,39.3,S,9,12,11,6.49,0.21,-0.75,  B1Ib,-0.007,-0.006,,51
2628,,,,5687,,7,0,19.3,S,22,7,10,6.53,-0.17,-0.82,  B2IV-Vne,-0.006,-0.018,,9
2629,,,,,,7,1,41.4,N,4,49,5,6.63,0.06,0.1,  A3V s,-0.006,-0.001,,-11
2630,42,Ome,Gem,,,7,2,24.8,N,24,12,55,5.18,0.94,0.68,  G5IIa-Ib,-0.009,-0.001,0.012,-9
2631,,,,,,7,2,25.5,N,17,45,20,5.94,1.63,,  M1,0.016,0.031,,23
2632,,,,,,7,2,17.4,N,15,20,10,5.74,,, gK1,0,-0.016,,-14
2633,,,,,,7,1,55,N,5,33,27,6.59,-0.02,-0.64,  B2IV-V,-0.041,0.01,,34
2634,,,,,,6,58,39.6,S,55,43,46,6.27,1.16,1.16,  K2III,-0.073,-0.09,,-1
2635,,,,,,7,2,33.5,N,16,40,27,5.82,1.68,1.92,  M2III,0.017,-0.015,,35
2636,,,,,,7,1,52.9,S,1,20,44,6.17,1.28,1.36,  G5II,0.01,-0.027,,-45
2637,,,,,,7,0,42.6,S,28,29,22,6.27,0.45,,  F5V,-0.006,-0.034,,10
2638,,,,,,6,58,36.2,S,56,23,41,6.45,0.39,,  F2II,-0.03,-0.028,,-3
2639,,,,,,7,1,56.4,S,5,43,20,5.2,1.68,2.05,  M2III,-0.016,0.001,-0.003,3
2640,,,,,,7,1,5.9,S,25,12,55,5.63,-0.17,,  B2V,-0.008,0.021,,6
2641,,,,,,7,0,49.8,S,33,27,55,6.4,1.05,,  G8II-III,0.019,0.091,,28
2642,,,,,,7,6,1.3,N,59,48,7,6.44,,,  G8III:,0.026,0.001,,22
2643,,,,,,7,3,30.4,N,29,20,14,5.93,0.6,0.04,  G4V,0.153,-0.826,0.059,22
2644,,,,5746,,7,5,39.8,N,52,45,29,6.12,0.11,0.88,  A3V s,-0.024,-0.072,0.011,27
2645,,,,,,7,5,9,N,47,46,30,6.38,-0.04,-0.23,  B9IIIn,-0.001,-0.004,,-17
2646,22,Sig,CMa,5719,,7,1,43.1,S,27,56,5,3.47,1.73,1.88,  K7Ib,-0.005,0.005,0.024,22
2647,,,,,,7,3,17.9,N,9,8,18,5.97,0.12,0.11,  A3V s,-0.023,0.006,,-12
2648,19,,Mon,,,7,2,54.8,S,4,14,21,4.99,-0.2,-0.93,  B1V,-0.003,0.003,,25
2649,,,,,,7,3,38,N,10,57,6,5.13,1.39,1.62,  K3III,-0.008,-0.019,0.011,21
2650,43,Zet,Gem,5742,,7,4,6.5,N,20,34,13,3.79,0.79,0.62,  F7-G3Ib,-0.009,0,-0.006,7
2651,,,,,,7,3,51.6,N,12,35,40,5.98,1.58,,  K5,0.002,0.001,,-16
