HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
56,,,,215,,0,16,21.6,N,43,35,41,6.15,0.05,0.03,  A2VpSi,0.043,-0.03,,2
57,,,,,,0,16,8.9,S,31,26,47,5.67,1.35,1.5,  K5III,0.122,-0.03,,26
58,,,,,,0,15,55.2,S,75,54,41,6.49,1,0.72,  G8-K0III,-0.013,0.006,,16
59,36,,Psc,,,0,16,34.1,N,8,14,24,6.11,0.92,0.66,  G8II-III,-0.02,-0.019,,1
60,,,,222,,0,16,57.1,N,61,32,0,5.74,0.88,0.59,  G8III,-0.001,-0.001,,-4
61,,,,,,0,16,42.5,S,20,12,38,6.47,-0.09,-0.48,  B8III,0.012,-0.014,,19
62,,,,,,0,17,9.1,N,47,56,51,5.89,-0.09,-0.44,  B7III,0.008,0,,-9
63,24,The,And,,,0,17,5.5,N,38,40,54,4.61,0.06,0.04,  A2V,-0.05,-0.019,0.022,1
64,,,,,,0,16,49,S,78,46,50,6.77,0.46,0.08,  F3III,0.077,-0.043,,-13
65,,,,,,0,17,43,N,51,25,59,6.14,-0.13,-0.97,  O9IIInn,-0.005,-0.004,,-35
66,,,,,,0,17,32.6,S,19,3,4,6.45,0.37,,  F4IV-V,0.015,0.003,,-5
67,,,,,,0,17,47.7,N,1,41,20,6.17,0.94,0.73,  K0II,0.095,0.012,,-9
68,25,Sig,And,,,0,18,19.7,N,36,47,7,4.52,0.05,0.07,  A2V,-0.063,-0.041,0.023,-8
69,,,,,,0,18,17.2,N,11,12,21,6.05,1.03,,  K0III,-0.036,-0.038,,9
70,26,,And,254,,0,18,42.1,N,43,47,28,6.11,-0.08,-0.35,  B8V,0.02,-0.003,,7
71,,,,,,0,18,38.3,N,31,31,2,5.87,-0.01,0,  A0IV,0.058,-0.006,,-5
72,,,,,,0,18,41.8,S,8,3,10,6.46,0.68,0.29,  G0V,0.413,-0.139,0.053,-10
73,,,,,,0,18,42.6,S,43,14,7,6.33,1.21,,  K2III,0.056,0.012,,12
74,8,Iot,Cet,,,0,19,25.7,S,8,49,26,3.56,1.22,1.25,  K1.5III,-0.014,-0.036,0.013,19
75,,,,,,0,19,41.6,N,40,43,47,6.33,1.18,,  K1III,-0.026,-0.01,,-38
